,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food and Beverages,Ground Service,Inflight Entertainment,Wifi and Connectivity,Value For Money,Recommended,origin,destination,Index
97320,Air Europa,3,"""very poor customer service""",2017-05-05,False,"  UX flights Paris Orly to Madrid and Madrid to Alicante. The first flight from ORY to MAD was late. Eventually I arrived to MAD at 13:50, and boarding for the next flight to ALC was scheduled for 14:05. On board of my flight to Madrid nobody could give me any information about my connection, even about the gate number. Upon my arrival in MAD it turned out that the next flight to ALC disappeared from the screens. At the UX transfer desk (poorly marked) a very relaxed staff member told me the flight to ALC was 'on hold' and that she had no clue if it would eventually take place. I went to the lounge (I am a gold AF member) and around 14:50 I was told the flight was about to board. No extra explanations, just an arrogant 'hurry up'. In sum, even though UX is a SkyTeam member, its service is way worse than on Transavia and way worse than on KL or AF. I was on AirEuropa flights for a number of times, mostly on intra-EU flights. UX is a no-frills airline with a very poor customer service.",Boeing 737 / ATR72,Business,Economy Class,Paris Orly to Alicante via Madrid,May 2017,3.0,2.0,2.0,1.0,1.0,,2.0,no,ParisOrly,AlicanteviaMadrid,106978
74806,British Airways,1,British Airways customer review,2014-06-20,False,I was excited to fly on the new A380 with the new seating. We sat in 14j and 14k. When we were seated we were offered champagne and we organized our belongings quickly. I sat down got out my magazine and asked the flight attendant how to operate the light and she apologized that our seats had no power and they have been working on it. Well after about ten minutes the door closed and the plane pushed off and I inquired again about the issue and she said the pilot was working on it. The power never came on during the 10.5 hour flight. We had no lights no entertainment no seat adjustments. I not given the opportunity to deboard when they knew of this problem or to reschedule another flight. This is not how you treat your business club passenger or any passenger. I was told I would be contacted by a representative but that did not happen.,,,Business Class,,,1.0,3.0,2.0,,1.0,,1.0,no,,,82268
27348,Spirit Airlines,1,"""horrible customer service""",2017-07-22,False," Spirit is the worst airline ever. I'm currently at the gate for my flight from Fort Lauderdale to Montego Bay and obviously delayed. There are 6 air line personnel, four attendants and two captains on there phones in front of the kiosk giving out zero information regarding the flight. I ask what the status is and literally all of them rolled there eyes towards me. This is horrible customer service.",,Solo Leisure,Economy Class,Fort Lauderdale to Montego Bay,July 2017,1.0,1.0,1.0,1.0,,,1.0,no,FortLauderdale,MontegoBay,30026
26370,Spirit Airlines,1,"""had a terrible experience""",2019-07-14,True,"  Houston to Fort Lauderdale. So many things to say about spirit, but a compliment isn’t one of them. Everything in Spirit has to be paid, 3 hour flight, you have to pay for water. Most airlines give it to you for free, considering I spent $300 on a flight and I can’t get a water cup. Along with that, carry on bags are all charged and they are overpriced. I was charged $65 for my carryon today, and I had to accept it or I wouldn’t have been able to board. Now I understand Spirit is the cheaper option but $50 less is not worth it. The seats are uncomfortable, workers are rude, and overall just had a terrible experience. Conclusion: don’t go with spirit.",,Solo Leisure,Economy Class,Houston to Fort Lauderdale,July 2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Hous,n,28943
61802,Delta Air Lines,1,"""interior is completely refurbished""",2016-08-29,False,"  Flew from Vancouver to Washington DC via Minneapolis. I'm in shock. Although the A320 on this three hour flight is 18 years old the interior is completely refurbished, including panels and overhead bins. The seats are new and very comfy. Every seat has a power outlet. Even the lavatories are completely refurbished. Then came the meal. Glass glasses. Nicely patterned table cloth. Bamboo looking non-slip trays. Copious amounts of delicious food presented in an elegant way. Great red wine. Wonderful service. Add to that the great onboard free streamed entertainment system titled Online Delta Studio, which you can access on any of your devices, and an internet connection that actually works. I'm so impressed with Delta right now for this is an airline I despised, and rightfully so, for having some of the worse onboard experiences. But if they can maintain this experience and keep it consistent throughout all their flights, I'm ready to convert. An actual 5-star experience on one of the US legacy airlines. Never thought I’d witness the day.",,Couple Leisure,First Class,YVR to BWI via MSP,August 2016,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes,YVR,BWIviaMSP,67947
15720,United Airlines,3,"""passengers should be alerted""",2022-03-09,True,"  The plane continuously circles the airport without letting passengers know. Then just sitting while the plane is landed for over a half hour without communication. This is unacceptable service, passengers should be alerted and told exactly what is going on with the flight they are physically in.",,Business,Economy Class,St. Louis to Newark,March 2022,1.0,3.0,3.0,1.0,1.0,1.0,1.0,no,St.Louis,Newark,17269
46250,Korean Air,9,Korean Air customer review,2012-02-08,False,BNE-LHR and return CDG-BNE. Both flights stopped overnight at the Hyatt Regency Incheon courtesy of KAL. The organization at Incheon airport was swift and efficient. Flights from and to BNE were by Airbus 330-300 from and to Incheon by Boeing 747-400. Airbus was comfortable with an excellent AVOD system while the Boeing was not as comfortable and the AVOD not up to the standard of the Airbus. Meals on all legs were average we were given a choice of Korean or Western and only one choice in each. Still at the price we obtained the fare KAL has to economise somewhere. No in-between meal snacks but plenty of water and juice. The real drawback was during daylight legs of the flights when the meals had been cleared away the cabin crew darkened the cabin insisting blinds be drawn.,,,Economy Class,,,4.0,5.0,3.0,,4.0,,4.0,yes,,,50824
55073,Frontier Airlines,10,Frontier Airlines customer review,2015-05-18,False,We boarded Frontier flight 607 from Miami on 5/15/15 at 1.08pm. We watched the flight land and unload and within 5 mins we boarded the plane. After everyone boarded this was a full flight the door was shut the captain came on and stated we had to have a tyre change. After over an hour the captain came back on and said we needed to have a 2nd tyre changed. We spent from 1.08pm until 3.40pm on this plane before takeoff on a fully booked airbus shoulder to shoulder very uncomfortable seats and without a single offering of a drink or food item. While I appreciate and understand safety this is absolutely uncalled for! The very least they could have offered was a complimentary drink but no we had to pay $2 for a canned soda. We spent a total of 4 hours on this plane! The seats on Frontier are plastic and very uncomfortable! They also state they are committed to serving customers but that is not what we experienced on this flight. Customer service is lacking.,,,Economy Class,,,1.0,1.0,1.0,,1.0,,1.0,no,,,60537
72958,British Airways,1,"""BA is just a budget airline""",2017-07-16,False,"  London Heathrow to Sofia. Flight was on time and ground service was smooth. However our seats were changed due to aircraft configuration change which is normal to happen, but no any choice or apology was offered (for Silver member!). No complimentary service onboard provided. Crew even had problem with the payment machine. Luckily I've got some water and treats from the airport shops. Cramped cabins and uncomfortable seats - now BA is just a budget airline charging premium prices and has worse service than other budget airlines!  I've abandoned my Silver status and considering using other airlines. I'm still using BA as well in cases when the fare is competitive on the route. ",A321,Couple Leisure,Economy Class,London to Sofia,June 2017,1.0,1.0,1.0,3.0,,,1.0,no,London,Sofia,80245
38988,Ryanair,1,"""staff pleasant and helpful""",2016-08-27,False,"Excellent flight again from Ryanair flying from Glasgow Prestwick to Murcia. If you carefully read the T&C's regarding online check-in, etc you wont have any issues. Flight on time on journey out, and landed 35 minutes early on return. Food & drink costs at a par with our airlines. Staff pleasant and helpful.",,Family Leisure,Economy Class,PIK to MJV,August 2016,4.0,4.0,3.0,5.0,1.0,1.0,5.0,yes,PIK,MJV,42847
73314,British Airways,5,"""not up to par with competitors""",2016-12-11,False,"  Dallas Ft Worth to Mumbai via London Heathrow after a reroute due to Lufthansa strike. Overall British Airways business class product is not up to par with competitors and feels like a premium economy experience. Ground staff at DFW were OK though there was no agent in the lounge till about 3 hours before departure. On board the seat if flat, but very narrow. Food was awful and felt like an economy class meal served on china; no flair and was unimaginative at best. Crew on both flights were fairly mediocre - just went through the motions but didn't seem particularly interested in passenger service at all.The second meal on LHR-BOM was the worst meal I have had on an airplane - literally a deep fried potato and thats it. Lounge at LHR was unimpressive and overly crowded with minimal food selection- sad display for their main hub. Overall I would not fly on BA by choice given their mediocre product. The still have 8 seat across in business compared with 4 on AF, AA and UA.",Boeing 747,Business,Business Class,DFW to BOM via LHR,November 2016,3.0,2.0,2.0,3.0,2.0,,3.0,no,DFW,BOMviaLHR,80636
70553,Avianca,8,"""definitely over my expectations""",2018-02-23,True,"  Bogotá to Barranquilla. This was actually my first time flying in business class. We usually never consider business but for some reason the one way ticket was cheaper in business than economy ($80 ish). I didn’t have any high expectations since it was a domestic flight, but it was all in all a really smooth experience. The Avianca Diamond Lounge at Eldorado Airport was decent, some small snacks and drinks as well as fast WiFi. On the flight I was served a beer and a glass of whiskey, no meal service though. Really comfortable and big seats as well as a pretty decent entertainment system. All in all nothing to complain about, pretty simple but definitely over my expectations.",A321,Couple Leisure,Business Class,Bogotá to Barranquilla,January 2018,4.0,4.0,,4.0,4.0,,5.0,yes,Bogotá,Barranquilla,77580
63052,easyJet,3,"""delayed by easyJet""",2018-07-24,True,  Inverness to Luton. Third time in a row spectacularly delayed by easyJet this year. The last two have seemingly been a reflection of the poor resilience built into their schedules which are over complicated by crisscrossing all over Europe. They just cannot bee relied on for domestic U.K. travel. Be extremely worried if you receive an email a few days before your flight if it says that the flight will be operated by easyJet Europe as this seems to mean inevitable delays happen. On this occasion the incoming flight arrived late and so missed its window to then avoid a weather related issue at Luton. EasyJet initially refused to pay out compensation because of the Luton related weather issues - when it was pointed out to them that their own flights landed at Luton around the time mine was due to land and BA had found it possible to depart Inverness later and arrive at Heathrow on time they then blamed more French traffic control and weather systems in Europe. This seems to be an airline that cannot respond to any small issue elsewhere in Europe and then meet its timetable. In future I will either use a more expensive but reliable flat carrier or the train. The train would have been quicker all the way from Inverness to London with these delays and they pay out if just 30 minutes late whoever fault it is. The only positive was helpful cabin crew who gave people free food and drinks and dealt well with an unruly passenger and booted him off.,,Solo Leisure,Economy Class,Inverness to Luton,May 2018,4.0,4.0,4.0,1.0,,,1.0,no,Inverness,Lu,69328
64885,Emirates,2,"""Service offered by the airline was below standard""",2022-07-27,True," Service is below sub standard. I travelled with my 2 daughters of 2 and 7 years. I bought my seat at the time of booking and the system wouldn’t let me to do the same for my daughters. At the time of online check in, I found out that my daughters were seated 7 rows ahead of me on their own which shocked me. Furthermore, I raised my concerns to the officer at the check-in desk. Her seat allocation was more terrible than the system. She allocated me in the middle seat, 2 year at the aisle and 7 year aisle right across making her to sit with a stranger. I was frightened to hear that bad news and had to escalate the issue to the supervisor. Finally, after 20-25 minutes of waiting, supervisor made me (compulsion) to sit with my daughters 7 seats ahead of my paid chosen seat. At least, it was a big relief for me before boarding. Money paid for my chosen seat was gone into Emirates account and no refund was made until now. More paper work following to claim it and a waste of time, so let Emirates enjoy that undeserved money. Service offered by the airline was below standard when compared to the rest of Middle Eastern Carriers and other standard carriers. Families travelling with kids were of least to no concern by the crew. However, I have to admit that Emirates managed to arrive the destination on time. On the return leg, my luggage is not delivered yet or lost on the way. Another issue to deal with Emirates now. Service had gone from standard to pathetic. I need to think million one times to make another booking with Emirates. Families travelling with kids are not recommended to choose this airline. More dissatisfaction occurred when reporting the above mentioned incidents to the customer support. Hardly any apologies to little reassurance from them too. Overall my travel experience with Emirates was pathetic.","Boeing 777-300ER, A380-800",Family Leisure,Economy Class,Kochi to London via Dubai ,July 2022,4.0,1.0,3.0,1.0,4.0,,1.0,no,Kochi,LondonviaDubai,71338
5735,LATAM Airlines,1,"""bottom of efficiency""",2023-03-11,False, Never make the mistake to fly this airline again. I flew them several times. Making changes with them is a very long process and even flight in the higher class they charge you money. When you want refunds they give you vouchers and it is absolutely impossible to change them or get that money back. I am frequent traveller of many airlines and I can tell for experience LATAM is at the bottom of efficiency and they are absolutely thieves.,,Business,Premium Economy,Sao Paulo to Rio,March 2023,2.0,3.0,,1.0,,,1.0,no,SaoPaulo,Rio,6316
69808,Austrian Airlines,3,"""a very frustrating experience""",2016-07-13,False,"The Austrian Airlines flight from Nice to Vienna was originally cancelled before being rescheduled. This on its own would be frustrating yet bearable, the true problems arrived in how both myself and many others were forced to wait for three hours before being even able to talk with airline staff. This treatment was without a doubt extremely frustrating. Beyond being forced to wait for an absurd amount of time, the compensation offered was negligible, despite how due to the delays we were arriving ten hours later. All in all a very frustrating and unsatisfactory experience was had.",,Solo Leisure,Economy Class,NCE to VIE,July 2016,1.0,2.0,1.0,1.0,,,2.0,no,NCE,VIE,76757
37356,Qatar Airways,7,Qatar Airways customer review,2013-09-25,False,SIN-DOH-BRU and TXL-DOH-SIN. Food onboard was acceptable. Seats were fairly comfortable. Inflight service ranged from average to outstanding depending on the flight attendant. Inflight entertainment was very good. The problem was the transit at Doha it was nothing short of a disaster. The buses that take you to and from the terminal were excruciatingly slow and extremely packed. Even though the bus doors were shut the buses didn't move and we were on the tarmac for about 15 minutes. No announcement no apologies. The terminal itself was packed when we got there and clearly did not have enough toilets. While they were not downright filthy they were certainly not the cleanest toilets in any airport anywhere. After having our boarding pass scanned for the transfer flight we took an escalator down to the waiting area in the bus bay. We waited more than an hour there with about 10 seats no toilets in a room that could comfortably only hold 25 passengers but is now holding a whole plane load. Many started sitting/sleeping on the floor. When it was time to board the bus a stone faced staff member came down to tell us to queue up. Again no announcement no apologies just do as you're told. When the bus got to the plane surprise surprise the doors stayed closed and we stayed inside the packed bus for another 15 minutes. Only on the plane did the captain explain that the aircraft came in late resulting in the delay. I wouldn't want to do another transit in Doha again at least not until their new airport is completed.,,,Economy Class,,,5.0,4.0,4.0,,5.0,,4.0,yes,,,41023
76068,China Airlines,1,"""Worst experience ever""",2015-09-01,False,"I do not recommend flying with China Airlines. I arrived 8hrs late and they lost my bag. I was making this trip to coming back Bangkok to Madrid via Amsterdam. They do not give the two boarding pass that I needed when leaving Bangkok, and when I arrived to Amsterdam I cannot find anybody to assist, the check in was closed, so we have to take 2 flights later to arrive - and when we finally arrived the bags were lost. Worst experience ever.",,Couple Leisure,Economy Class,Bankgok to Amsterdam,August 2015,1.0,1.0,,1.0,,,1.0,no,Bankgok,Amsterdam,83659
67900,Etihad Airways,1,"""a pleasant flight""",2019-01-04,True,"  Cairo to Dublin via Abu Dhabi. The security was tight at Cairo which is reassuring. It was a slow check-in process at Cairo. The lounge at Cairo used by Etihad was the Pearl lounge, which was fine and nice coffee and cakes plus hot food. A private booth chair and TV. The flight was after midnight and full. Nice staff but busy. Also nowhere to hang my overcoat as the wardrobe was full. Good service, good food and arrived on time into Abu Dhabi at 06:20. I made my way to the Lounge for my next flight to Dublin. I decided to take advantage of the Spa and had a massage of my back and feet. Great massage cost 30 - 40 euro. Took at least 40 minutes. Great way to spend your time between flights. I felt refreshed and had a glass of champagne before boarding my next flight. Again the flight was full and busy, but the staff were excellent. High quality food and wine. One problem I find with these pod type seats they're too restricted for my shoulders or to get comfortable in the flat bed position. They are fine for sitting up and eating. But the older style business class without pod seats are much more spacious and more comfortable then this walled in type seat. Other than that a pleasant flight. I arrived back in Dublin on time.",A332 / A320,Solo Leisure,Business Class,Cairo to Dublin via Abu Dhabi,November 2018,4.0,5.0,5.0,5.0,4.0,3.0,3.0,yes,Cairo,DublinviaAbuDhabi,74646
61205,Delta Air Lines,1,"""choose another airline""",2019-02-09,True,"  Salt Lake City to Albeqerque. Here we go again with Delta! Delayed, then made it to the plane, pushed back, now back in the airport again. Possibly changing planes. I would say this is unbelievable, but this is par for the course with Delta. If you don’t have to fly Delta, choose another airline. Anything else would be an improvement.",,Business,Economy Class,Salt Lake City to Albeqerque,February 2019,1.0,1.0,,1.0,,,1.0,no,SaltLakeCity,Albeqerque,67289
36438,Qatar Airways,9,"""much better than Emirates""",2017-07-24,False,"  Frankfurt to Bangkok via Doha. This was my first trip with Qatar Airways and normally using Emirates for this route. It was a nice surprise and for me much better than Emirates, better cabin service and a nicer transfer time between the flights. Food was fair for economy class, great choice of inflight programmes, movies etc, and seat comfort felt better than Emirates Boeing 777 and the A380. Cabin attendants were polite on both sectors, polite and efficient - and not to overpowering or fake. Transfer time in Hamad airport was pleasant, nice shops, some comfortable places to seat and rest. Have my return flights to look forward to.",Boeing 777 / A380,Couple Leisure,Economy Class,Frankfurt to Bangkok via Doha,July 2017,4.0,5.0,4.0,4.0,5.0,3.0,5.0,yes,Frankfurt,BangkokviaDoha,40018
56748,Gulf Air,9,Gulf Air customer review,2011-05-05,False,ATH-BAH-KUL E190 was new and pleasant with great IFE. A330 was ok with no complaints. Service was good and the food tasty. In the A330 flight the service was adequate even though there was a long time that the staff was disappeared (after lunch till breakfast). I noticed that people were going to the back galley and returning with sandwiches and refreshment. We had a 10 hour stopover in BAH and provided hotel food visa support.,,,Economy Class,,,,,,,,,4.0,yes,,,62377
6694,Vietnam Airlines,7,Vietnam Airlines customer review,2013-03-25,False,Singapore to Hanoi return. An acceptable service for the money paid staff tried really hard aircraft getting on a bit so entertainment poor for a 3hr flight but not a deal clincher. Would certainly fly Vietnam again.,,,Economy Class,,,3.0,4.0,4.0,,2.0,,4.0,yes,,,7367
81851,AirAsia X,8,AirAsia X customer review,2010-09-25,False,Gold Coast-KL-Stansted. We had Premium seats on all legs apart from the first from Gold Coast. All flights on time seats the old business class cloth seats (they were fine) everything else same. Pre pay meal pay drinks etc. We have made about half a dozen trips and have found the airline to be most reliable.,,,,,,,,,,,,4.0,yes,,,89982
65691,Emirates,1,"""Emirates was disappointing""",2017-06-08,False,"  Dubai to Singapore. Emirates was disappointing compared to Singapore Airline or other major carriers like Qatar Airways. Would not recommend flying with them as they damaged my bag, admitted it, but didn't want to resolve it.  I would recommend that you watch out with this airline of damaging your things severely and then absolutely not caring as there's nothing you can do to protect yourself. Very unresponsive staff across the organization which is not ideal. Everything seems like it's done in a backdoor manner.",,Solo Leisure,Economy Class,Dubai to Singapore,October 2016,2.0,1.0,1.0,1.0,2.0,,1.0,no,Dubai,Singapore,72220
24305,SpiceJet,1,"""poor level of service""",2016-12-14,False,"Delhi to Udaipur with SpiceJet. Second short notice cancellation of flights booked months in advance. No offer of assistance. Airline is a joke. They cancel within two weeks of the flight, but then advise that my refund will take at least 30 days. Keep away from this operator. I am a former pilot and have never experienced this poor level of service and back up options before.",,Couple Leisure,Economy Class,DEL to UDR,December 2016,1.0,1.0,,1.0,,,1.0,no,DEL,UDR,26680
63240,easyJet,1,"""Excellent both ways""",2017-02-07,False,"  Luton to Barcelona return. Excellent both ways with Easyjet and for a bargain price. For roughly same dates BA out of LHR looking for £250 , this was £40 return including taxes! Both flights on time, outbound middle seat free, inbound whole row to myself. I purchased the speedy boarding which worked both times for getting on an off the aircraft. Crew were friendly and efficient. On landing I was back in my car in 15 minutes. Very impressed.",A320,Business,Economy Class,Luton to Barcelona,January 2017,4.0,5.0,4.0,5.0,,,5.0,yes,Lu,n,69531
85503,American Airlines,1,"""Worst flying experience"" ",2024-04-04,False,   Flight from St Thomas to Philly was delayed causing us to miss connecting flight from Philadelphia to Boston. Once on plane in Philadelphia it was determined we didn’t have enough fuel so headed back to get fuel. Now we have missed our shuttle to the airport which will certainly cost us stupid money because the shuttle is no longer running. We still have a three hour drive to maine. Haven’t eaten since 2:00 in St Thomas as and it is 11:46 pm. And we haven’t left Philly yet. Now we may not even fly because of wind situation. Worst flying experience yet. Unbelievable,A320,Family Leisure,Economy Class,Philadelphia to Boston,April 2024,2.0,1.0,,1.0,,,1.0,no,Philadelphia,Bos,93981
25351,Spirit Airlines,1,"""worst airline I've ever taken""",2022-04-08,True,"  This was hands down the worst trip and worst airline I've ever taken. I had a flight from BWI with a connecting flight from Dallas to PHX from 7 April until 10 April 2022. First thing our flight was delayed 2 hours, which wasn't too bad. After the plane's arrival they allowed us to board sitting inside the plane for one hour, then telling us due to mechanical issues the plane can't turn on. They got us a new plane three hours later and told all of us that the next flight would be awaiting us in Dallas. When we finally arrived in Dallas, no one helped us so we walked around aimlessly trying to find assistance. We finally found someone who them told us do to another mechanical issue your connecting flight is canceled. They tried re-booking us for the 9th of April at 5pm which would have been the entire weekend and trip. Asked for a refund I still haven't received it even though I had flight protection. I had to book a brand new flight for 500 extra dollars. Moral of the story never ever fly Spirit, please stay far far away!",,Solo Leisure,Economy Class,Baltimore to Phoenix via Dallas Ft Worth,April 2022,1.0,1.0,,1.0,,,1.0,no,Baltimore,PhoenixviaDallasFtWorth,27826
91789,Aer Lingus,1,"""not fly with this airline ever again""",2021-09-11,False,"  This company has offered daily tickets to different destinations all over Europe at affordable prices during, and after, the COVID 19 pandemic restrictions.  Their strategy was to cancel those flights right before the 14 days period that the EU 261/2001 law stipulates. They would, after, offer you 3 options: full refund, Flight reallocation or voucher from company. I chose to get a full refund and, well, turns out that Aer Lingus Customer Services are one of the worst I have dealt with. I created an application form for the total refund of my flight tickets, which was never replied to. I have tried to call them several times with no answer. I have written several emails with no reply. And after all, they kept sending me emails re allocating my flight (the one that suppose to be cancelled for at least 14 days). Nowadays I am still trying to get to them, but no response. This seems to be the way they have been operating lately. I will not fly with this airline ever again.",,Couple Leisure,Economy Class,Dublin to Bilbao,July 2021,,,,,,,1.0,no,Dublin,Bilbao,100876
954,Vueling Airlines,1,"""either shape up or ship out""",2016-09-17,False,  Paris Orly to Barcelona. I've just spent over an hour and a half awaiting check in (and this is the expedited print your boarding pass line) and the ordeal is nowhere near to being finished. Two counter agents service of this line and customer service is totally non existent. I'm not sure how long this airline has been in existence but either they shape up or ship out since this won't cut it! For customers to be subjected to this level of poor service is unheard of today.  I really do hope that something is done about this since Europe is far too progressive to accept this. However judging from the amount of bad reviews regarding this airline and the inability of anyone to do anything thus far about it just about sums it up!,A320,Couple Leisure,Economy Class,ORY to BCN,September 2016,1.0,1.0,,1.0,,,1.0,no,ORY,BCN,1048
69361,Asiana Airlines,5,Asiana Airlines customer review,2012-07-02,False,26 June 2012. Flight Seoul Incheon - Bangkok. I travel at least 200'000 miles per year and always in business class with Star Alliance partners. This flight however was disappointing the plane an old 777 had old seats and the entertainment system was from the last century not what I expected from this airline. The staff was pleasant but the food was not up to standard.,,,Business Class,,,3.0,4.0,3.0,,2.0,,3.0,no,,,76262
18745,United Airlines,6,United Airlines customer review,2015-03-09,False,"Houston to Tokyo in Business Class. Five hours before landing in Tokyo when most people are sleeping the fasten seatbelt sign came on and the following recorded announcement was made very loudly. ""Ladies and Gentlemen the captain has turned on the fasten seatbelt sign. Please return to your seat and fasten your seatbelt."" I can't imagine anyone being able to sleep through the announcement. I was never able to fall asleep again during the flight. Can't United find a better way to alert passengers to the fasten seatbelt sign like a message on the television screen? Many United pilots turn on the fasten seatbelt sign when they need to use the toilet so it does come on a lot. Otherwise the food wine and entertainment were excellent and the seat made a very comfortable bed.",,,Business Class,,,4.0,4.0,4.0,,4.0,,2.0,no,,,20570
60810,Delta Air Lines,2,"""where is the maintenance for you aircraft""",2020-09-11,True,"  Thank you Delta airlines for delaying my flight. I do understand that there are “complications” when it comes to airlines, but where is the maintenance for you aircraft? If my flight is missed, I can kiss my livelihood good bye for missing this merger meeting. There was another customer on this flight with me and he has been here since 0900 this morning because of issues with your system and extraordinary delays. I would imagine even after receiving bailout money from the government, service would still be top priority. The best that the hard working people at gate A12 could offer was hotel accommodations for the night. I wanted to buy a one way to another airline and have delta reimburse me, but no I couldn’t do that. I sincerely hope you have a QA/QM team to analyze these issues and I really do hope you can address them. ",,Business,Economy Class,Sacramento to Seattle,September 2020,,,,1.0,,,1.0,no,Sacramen,,66866
10858,Thai Airways,1,"""the crew were energetic""",2022-07-10,True,"  The aircraft was fully booked but the crew were energetic, working fast. The food was fast served as well as drinks.  I had very short time of transit but as I arrived my destination, my baggage was also arrived in time which is not always the case for the moment.",,Solo Leisure,Economy Class,Munich to Chiang Mai via Bangkok,July 2022,5.0,5.0,5.0,5.0,2.0,,5.0,yes,Munich,ChiangMaiviaBangkok,11930
92397,Aer Lingus,8,Aer Lingus customer review,2012-07-08,False,I flew from Shannon to Boston yesterday 7 July and must say that I was both shocked and horrified that three of the female cabin crew including the cabin manager were chewing gum whilst serving food etc. I expect that here by the staff on US carriers but not Aer Lingus. Otherwise the flight was faultless.,,,Economy Class,,,4.0,4.0,3.0,,5.0,,4.0,yes,,,101553
27232,Spirit Airlines,7,"""Both flights were on time""",2017-11-10,False,"  Flew from Philadelphia to Las Vegas with Spirit Airlines. I had read so many bad reviews but I had to fly cheap. So since it was almost half the price of the other airlines I took the chance! Both flights were on time and it was like a bus. If you are in a tight budget and don’t care about food and service or a space for your lap, take Spirit!",,Solo Leisure,Economy Class,Philadelphia to Las Vegas,October 2017,1.0,2.0,,2.0,,,3.0,yes,Philadelphia,LasVegas,29892
17493,United Airlines,9,"""everything went like clockwork""
",2018-03-04,True," Flew Edinburgh to Hawaii via Newark. Our recent vacation included 4 flights with United Airlines and, from check in to landing, everything went like clockwork. Every flight was on time and all cabin staff were friendly and efficient. Complimentary soft drinks and water were available on all flights and, when meals were provided, the quality was excellent. United Airlines provide good value for money and we would have no hesitation in recommending them to potential travellers.",,Couple Leisure,Economy Class,Edinburgh to Hawaii via Newark,February 2018,3.0,5.0,5.0,5.0,3.0,,5.0,yes,Edinburgh,HawaiiviaNewark,19209
76797,China Eastern Airlines,7,China Eastern Airlines customer review,2013-06-30,False,Sydney to Shanghai flight. New clean interiors ok seats food decent but ran out of omelette for breakfast after the first few rows of service. Extremely poor entertainment system so bring your own entertainment. No personal TV screen system so not sure why they had those annoying boxes under almost all seats. There are a few tiny screens above the seats but unless you sit close to these screens you will not be able to see anything and the movies were dubbed into Chinese with English subtitles so anyone that do not understand Chinese would not stand a chance reading the subtitles. Have flown them before and if you get a good deal with them (I did) then I would definitely recommend China Eastern Airlines.,,,Economy Class,,,4.0,4.0,4.0,,1.0,,5.0,yes,,,84458
44084,Kenya Airways,7,"""still rate KQ fairly high""",2019-09-03,True,"  Dubai to Kigali via Nairobi. On time. KQ cannot handle transit luggage in Dubai anymore. This happens frequently to me as I often travel on a different ticket onwards from DXB when transiting. One has to hire a ground handling company DNATA (?) and pay them 90 USD to retag two suitcases forward. Instead, I opted to pass twice not only immigration but also security and train commuting. Had to reclaim my bags and check them in again at landside. Otherwise, everything went perfect. I sleep well on the Boeing 787, prefer the middle seats on 2nd row. FAs pleasurable and I allowed them to change my seat. I bought the tickets a year in advance and could at that time not connect easily to Kigali from Nairobi. Earlier flights are now available, but I opted not to change and killed my 12 hours in Pride Lounge in Nairobi with pleasure and in great comfort. Last flight on Embraer, also faultless. But inflight service poor and food is a joke: a single, cold, unappetizing sandwich. I wonder what they can serve cheaper for economy class. Beers and wine available but hidden not displayed on wagons. Business class was full and people were cramped in 1 x 2 configuration. Headsets were for economy class and only given on request. Luggage delivered at belt as some of the very last ones, more than 35 Minutes after passing immigration. No point of Priority Tags. Delay caused by examination of all bags prior to releasing them! I could hear the sniffing dogs they use to disclose drugs. An airport thing, but passengers are suffering from this which also apply for departures. I still rate KQ fairly high due to good lounges, good first flight, nice FAs, and ability to handle irregularities.",Boeing 787 / E190,Business,Business Class,Dubai to Kigali via Nairobi,September 2019,4.0,4.0,2.0,4.0,2.0,,5.0,yes,Dubai,KigaliviaNairobi,48419
9574,Wizz Air,1,"""our boarding cards cancelled""",2017-04-27,False,  Luton to Budapest return. We had to pay a check in fee of £80 for my wife and I to return from Budapest. We had completed online check in before leaving the UK and had printed boarding cards. The airport staff in Budapest told us our booking had been changed and our boarding cards cancelled. We had not made any changes and when questioned Wizz told me we had changed our titles (Mr /Mrs). Wizz would not accept any responsibility for the charge. The Airport staff at Budapest Airport were most unhelpful and very rude when dealing with us. The flight was fine but the charges were not fair and customer complaints not at all helpful. ,,Couple Leisure,Economy Class,Luton to Budapest,March 2017,4.0,4.0,,1.0,,,1.0,no,Lu,n,10508
78062,China Southern Airlines,9,"""it was a pleasant trip""",2016-07-08,False,"  Shanghai to Melbourne via Guangzhou. Although the first trip (Shanghai-Guanzhou) delayed a long time due to bad weather, the service in the airport and cabin were very good. Cabin staff very good and courteous. Food was also good, there were many varieties of drinks to choose from. Inflight entertainment was very rich. All in all, it was a pleasant trip, hope that the next journey will be just as good.",A330,Business,Economy Class,SHA to MEL via CAN,June 2016,4.0,5.0,5.0,5.0,4.0,,5.0,yes,SHA,MELviaCAN,85837
